matrix,threadsPerBlock,total_time_s,iterations,avg_time_s
lap2D_5pt_n100.mtx,1,3.160968,512,0.006174
lap2D_5pt_n100.mtx,2,2.093983,512,0.004090
lap2D_5pt_n100.mtx,4,1.668953,489,0.003413
lap2D_5pt_n100.mtx,8,1.597471,489,0.003267
lap2D_5pt_n100.mtx,16,1.608999,489,0.003290
lap2D_5pt_n100.mtx,32,1.571841,489,0.003214
lap2D_5pt_n100.mtx,64,1.573577,489,0.003218
lap2D_5pt_n100.mtx,128,1.553446,489,0.003177
lap2D_5pt_n100.mtx,256,1.524873,460,0.003315
lap2D_5pt_n100.mtx,512,2.278105,460,0.004952
lap2D_5pt_n100.mtx,1024,4.384006,489,0.008965
